,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
0,Mar del Plata,-38.0,-57.56,68.0,34,0,4.7,AR,1598035260
1,Tual,-5.67,132.75,79.41,84,64,12.86,ID,1598035437
2,San Patricio,19.22,-104.7,87.8,74,75,5.82,MX,1598035546
3,Jacareacanga,-6.22,-57.75,93.2,56,20,5.82,BR,1598035546
4,Ushuaia,-54.8,-68.3,46.4,61,75,16.11,AR,1598035546
5,Atuona,-9.8,-139.03,78.53,79,7,15.32,PF,1598035547
6,Rikitea,-23.12,-134.97,65.79,67,0,22.12,PF,1598035547
7,Ambon City,-3.7,128.18,78.12,85,73,7.31,ID,1598035438
8,Kavieng,-2.57,150.8,81.95,80,4,11.01,PG,1598035427
9,Ancud,-41.87,-73.82,57.99,81,0,4.7,CL,1598035425
10,Neuquén,-38.95,-68.06,68.0,32,0,4.7,AR,1598035548
11,Birjand,32.87,59.22,78.8,16,0,9.17,IR,1598035548
12,Saldanha,-33.01,17.94,55.4,76,0,8.05,ZA,1598035429
13,New Norfolk,-42.78,147.06,35.01,87,4,2.26,AU,1598035549
14,Gobō,33.88,135.15,82.4,83,75,1.12,JP,1598035549
15,Mpika,-11.83,31.45,64.71,51,9,10.33,ZM,1598035550
16,Mezen',65.85,44.24,56.97,87,100,3.02,RU,1598035323
17,Busselton,-33.65,115.33,50.0,75,100,7.09,AU,1598035415
18,Hilo,19.73,-155.09,77.0,83,90,5.82,US,1598035550
19,Barrow,71.29,-156.79,44.6,100,90,8.05,US,1598035416
20,Punta Arenas,-53.15,-70.92,48.2,66,75,16.11,CL,1598035551
21,Vaini,-21.2,-175.2,73.4,100,75,2.24,TO,1598035551
22,Porto Murtinho,-21.7,-57.88,59.83,45,0,7.49,BR,1598035551
23,Ilulissat,69.22,-51.1,46.4,52,20,3.36,GL,1598035472
24,Puerto Ayora,-0.74,-90.35,75.2,57,75,20.8,EC,1598035552
25,Bluff,-46.6,168.33,48.0,97,54,3.0,NZ,1598035552
26,Neryungri,56.67,124.65,47.59,88,5,2.28,RU,1598035552
27,Kapaa,22.08,-159.32,80.6,74,90,11.41,US,1598035553
28,Cherskiy,68.75,161.3,39.2,82,100,13.58,RU,1598035553
29,Henties Bay,-22.12,14.28,63.18,32,17,10.33,NA,1598035553
30,Albany,42.6,-73.97,84.99,43,61,8.63,US,1598035547
31,Laredo,27.51,-99.51,96.8,34,1,14.99,US,1598035541
32,Touros,-5.2,-35.46,80.6,78,75,11.41,BR,1598035554
33,Jumla,29.27,82.18,62.82,69,97,0.38,NP,1598035554
34,Conceição do Araguaia,-8.26,-49.26,103.64,14,65,2.48,BR,1598035554
35,Dingle,11.0,122.67,75.78,89,0,1.01,PH,1598035422
36,Hermanus,-34.42,19.23,52.0,91,75,4.45,ZA,1598035555
37,Jand,33.43,72.02,85.3,67,2,7.74,PK,1598035555
38,Arraial do Cabo,-22.97,-42.03,68.0,77,75,10.29,BR,1598035350
39,Amga,60.9,131.96,37.53,78,1,1.43,RU,1598035556
40,Bairiki Village,1.33,172.98,80.6,83,20,3.36,KI,1598035435
41,Tura,25.52,90.22,74.53,93,69,5.14,IN,1598035556
42,Qaanaaq,77.48,-69.36,40.24,79,77,4.9,GL,1598035428
43,Pervoye Maya,56.16,44.72,61.0,93,40,3.51,RU,1598035557
44,Cidreira,-30.18,-50.21,52.92,51,0,10.83,BR,1598035557
45,Mikkeli,61.69,27.27,64.4,63,0,2.24,FI,1598035532
46,Taltal,-25.4,-70.48,64.33,47,18,7.49,CL,1598035558
47,George Town,5.41,100.34,80.6,94,40,5.82,MY,1598035288
48,Alyangula,-13.85,136.42,60.8,93,0,4.7,AU,1598035431
49,Puerto Rico,-26.8,-55.02,56.52,38,0,4.92,AR,1598035559
50,Mataura,-46.19,168.86,48.0,97,62,3.0,NZ,1598035559
51,Hobart,-42.88,147.33,35.6,85,40,3.36,AU,1598035426
52,Diamantino,-14.41,-56.45,68.79,46,13,13.13,BR,1598035559
53,Butaritari,3.07,172.79,82.54,63,100,2.08,KI,1598035560
54,Bethel,41.37,-73.41,86.0,51,20,9.17,US,1598035349
55,La Santisima Trinidad,-14.83,-64.9,58.39,37,100,8.9,BO,1598035560
56,Lebu,-37.62,-73.65,54.28,69,0,16.49,CL,1598035560
57,Mehamn,71.04,27.85,57.2,82,75,11.41,NO,1598035561
58,Newport,51.59,-3.0,66.0,81,100,4.0,GB,1598035561
59,Bambanglipuro,-7.95,110.28,74.1,87,100,4.43,ID,1598035561
60,Port Hardy,50.7,-127.42,57.2,100,90,4.7,CA,1598035561
61,Geraldton,-28.77,114.6,57.2,76,90,3.36,AU,1598035562
62,Oblivskaya,48.54,42.5,68.11,46,94,6.11,RU,1598035328
63,Mount Gambier,-37.83,140.77,44.6,87,75,12.75,AU,1598035562
64,Cape Town,-33.93,18.42,55.99,93,2,4.7,ZA,1598035328
65,Joshīmath,30.57,79.57,65.8,60,100,0.38,IN,1598035563
66,Port Elizabeth,-33.92,25.57,53.6,93,0,4.7,ZA,1598035415
67,Mayo,38.89,-76.51,84.99,83,20,12.75,US,1598035563
68,Logansport,40.75,-86.36,82.4,54,1,3.38,US,1598035564
69,Longyearbyen,78.22,15.64,44.6,75,75,2.24,SJ,1598035564
70,Santa Margherita Ligure,44.33,9.21,81.0,39,0,3.0,IT,1598035564
71,Camacha,33.08,-16.33,75.2,78,20,13.87,PT,1598035564
72,Saint-Philippe,-21.36,55.77,68.0,60,20,6.93,RE,1598035565
73,Labuhan,-6.88,112.21,77.76,72,100,11.01,ID,1598035565
74,Esperance,-33.87,121.9,46.4,93,100,4.7,AU,1598035565
75,Itarema,-2.92,-39.92,83.41,66,16,18.63,BR,1598035565
76,Ixtapa,20.7,-105.2,84.99,79,75,5.82,MX,1598035566
77,Te Anau,-45.42,167.72,42.33,88,82,0.69,NZ,1598035566
78,Tilichiki,60.47,166.1,45.39,98,100,7.02,RU,1598035566
79,Ponta do Sol,32.67,-17.1,77.0,78,40,10.29,PT,1598035566
80,Aktobe,50.28,57.21,60.8,51,59,4.47,KZ,1598035567
81,Mishan,45.55,131.88,52.48,85,0,2.64,CN,1598035567
82,San Cristobal,7.77,-72.22,89.6,55,40,13.87,VE,1598035567
83,Bima,-8.47,118.72,72.68,78,0,3.2,ID,1598035568
84,Fairbanks,64.84,-147.72,51.8,100,75,3.36,US,1598035440
85,Mackay,-21.15,149.2,50.0,87,0,5.82,AU,1598035568
86,Aldan,58.6,125.39,50.65,97,100,2.04,RU,1598035531
87,Hamilton,39.18,-84.53,86.0,54,1,6.93,US,1598035347
88,Loandjili,-4.76,11.86,75.2,83,40,6.93,CG,1598035569
89,América Dourada,-11.46,-41.44,85.71,36,29,12.48,BR,1598035569
90,Cockburn Town,21.46,-71.14,87.8,62,40,11.41,TC,1598035569
91,Alofi,-19.06,-169.92,71.6,100,0,2.24,NU,1598035570
92,Bredasdorp,-34.53,20.04,55.4,87,80,2.24,ZA,1598035423
93,Sandy Bay,-42.91,147.35,35.6,83,40,3.36,AU,1598035570
94,Asău,46.43,26.4,64.0,88,1,3.13,RO,1598035570
95,Saint Paul Harbor,57.79,-152.41,62.87,66,0,5.03,US,1598035571
96,Krasnosel'kup,65.7,82.47,49.8,85,0,9.66,RU,1598035571
97,Lorengau,-2.02,147.27,82.85,72,46,8.59,PG,1598035421
98,Sinnamary,5.38,-52.95,84.36,67,3,13.2,GF,1598035571
99,Iqaluit,63.75,-68.51,53.6,66,75,4.63,CA,1598035415
100,Mount Isa,-20.73,139.5,55.4,30,4,6.93,AU,1598035572
101,Pisco,-13.7,-76.22,63.0,87,90,8.05,PE,1598035572
102,Tasiilaq,65.61,-37.64,50.0,53,20,11.41,GL,1598035572
103,Yellowknife,62.46,-114.35,55.4,62,40,11.41,CA,1598035572
104,Tadpatri,14.92,78.02,80.01,73,100,12.82,IN,1598035573
105,Mokrous,51.23,47.52,57.56,75,0,8.41,RU,1598035573
106,Hithadhoo,-0.6,73.08,82.49,80,86,14.29,MV,1598035573
107,Isangel,-19.55,169.27,72.37,83,40,6.67,VU,1598035573
108,Qasigiannguit,68.82,-51.19,46.4,52,20,3.36,GL,1598035574
109,Kotel'nich,58.31,48.35,54.95,82,100,4.68,RU,1598035574
110,Thompson,55.74,-97.86,60.8,72,75,10.29,CA,1598035574
111,Grindavik,63.84,-22.43,59.0,58,0,14.99,IS,1598035574
112,Rocha,-34.48,-54.33,56.39,55,0,9.66,UY,1598035575
113,Katsuura,35.13,140.3,80.01,87,2,3.83,JP,1598035430
114,Carnarvon,-24.87,113.63,57.2,100,76,5.82,AU,1598035575
115,Urucará,-2.54,-57.76,102.24,20,17,5.86,BR,1598035575
116,Bambous Virieux,-20.34,57.76,71.6,64,75,6.93,MU,1598035576
117,Vila Franca do Campo,37.72,-25.43,77.0,78,40,4.7,PT,1598035576
118,Bouna,9.27,-3.0,76.77,80,0,3.38,CI,1598035576
119,Port Montt,-41.47,-72.94,48.2,81,90,10.29,CL,1598035576
120,Port Alfred,-33.59,26.89,58.8,72,0,11.5,ZA,1598035576
121,Casambalangan,18.38,122.13,78.35,82,80,2.95,PH,1598035577
122,Hokitika,-42.72,170.97,51.37,88,97,0.96,NZ,1598035577
