,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,belushya guba,,,,,,,,
1,severo-kurilsk,RU,2020-08-18 11:35:31,50.68,156.12,65,92,50.359999999999985,5.38
2,rikitea,PF,2020-08-18 11:33:35,-23.12,-134.97,3,81,71.924,5.4
3,samusu,,,,,,,,
4,kapaa,US,2020-08-18 11:35:32,22.08,-159.32,1,74,79.06999999999996,4.6
5,puerto ayora,EC,2020-08-18 11:31:06,-0.74,-90.35,40,69,75.46999999999997,8.2
6,hualmay,PE,2020-08-18 11:35:32,-11.1,-77.61,24,64,66.29000000000002,5.41
7,new norfolk,AU,2020-08-18 11:33:38,-42.78,147.06,90,80,41.26999999999996,0.45
8,saldanha,ZA,2020-08-18 11:35:32,-33.01,17.94,71,54,57.469999999999956,5.7
9,torbay,CA,2020-08-18 11:35:19,47.67,-52.73,90,93,63.266000000000005,6.7
10,port alfred,ZA,2020-08-18 11:35:33,-33.59,26.89,100,67,53.52799999999996,16.28
11,rungata,,,,,,,,
12,lompoc,US,2020-08-18 11:31:28,34.64,-120.46,1,73,74.26400000000004,1.5
13,vaini,TO,2020-08-18 11:35:33,-21.2,-175.2,90,94,73.66999999999996,5.7
14,qaanaaq,GL,2020-08-18 11:35:33,77.48,-69.36,100,76,43.12400000000001,4.78
15,klaksvik,FO,2020-08-18 11:35:33,62.23,-6.59,97,81,53.86999999999996,4.1
16,yellowknife,CA,2020-08-18 11:32:50,62.46,-114.35,90,93,57.469999999999956,3.6
17,talnakh,RU,2020-08-18 11:35:34,69.49,88.4,9,55,61.069999999999965,4
18,mataura,NZ,2020-08-18 11:35:34,-46.19,168.86,100,76,43.95199999999998,1.94
19,lata,PT,2020-08-18 11:35:34,40.16,-8.33,68,52,84.27200000000005,4.74
20,avarua,CK,2020-08-18 11:35:34,-21.21,-159.78,92,83,70.06999999999996,6.2
21,bangkalan,ID,2020-08-18 11:30:48,-7.05,112.74,0,74,79.66400000000004,3.18
22,atuona,PF,2020-08-18 11:35:07,-9.8,-139.03,6,76,79.08800000000005,10
23,narsaq,GL,2020-08-18 11:35:15,60.92,-46.05,20,42,66.46999999999997,2.1
24,bonavista,CA,2020-08-18 11:35:35,48.65,-53.11,98,76,60.27799999999996,4.02
25,asfi,MA,2020-08-18 11:35:35,32.3,-9.24,0,70,75.79399999999998,11.36
26,ramanuj ganj,IN,2020-08-18 11:35:35,23.8,83.7,31,89,78.70999999999998,0.56
27,hilo,US,2020-08-18 11:35:35,19.73,-155.09,90,78,71.86999999999996,1.5
28,hobart,AU,2020-08-18 11:34:42,-42.88,147.33,92,81,43.06999999999996,3.1
29,taolanaro,,,,,,,,
30,bluff,NZ,2020-08-18 11:35:18,-46.6,168.33,100,70,47.35399999999995,5.67
31,port hawkesbury,CA,2020-08-18 11:35:36,45.62,-61.35,90,88,70.26799999999999,6.2
32,ushuaia,AR,2020-08-18 11:35:36,-54.8,-68.3,75,87,35.86999999999996,7.2
33,kalengwa,ZM,2020-08-18 11:35:36,-13.47,25,0,23,71.11400000000003,0.76
34,qaqortoq,GL,2020-08-18 11:35:36,60.72,-46.03,20,42,66.46999999999997,2.1
35,souillac,MU,2020-08-18 11:35:36,-20.52,57.52,75,78,71.86999999999996,8.2
36,tazovskiy,RU,2020-08-18 11:32:06,67.47,78.7,3,80,53.99600000000005,4.25
37,amderma,,,,,,,,
38,tiksi,RU,2020-08-18 11:35:37,71.69,128.87,100,91,39.524000000000015,5.53
39,bonnyville,CA,2020-08-18 11:35:37,54.27,-110.73,5,73,71.86999999999996,1
40,yar-sale,RU,2020-08-18 11:35:37,66.83,70.83,72,76,54.30199999999998,5.69
